sample	BCper10mb_0	BCper10mb_1	BCper10mb_2	BCper10mb_3	CN_0	CN_1	CN_2	CN_3	CN_4	CN_5	CN_6	CN_7	CN_8	CNCP_0	CNCP_1	CNCP_2	CNCP_3	CNCP_4	CNCP_5	CNCP_6	CNCP_7	BCperCA_0	BCperCA_1	BCperCA_2	BCperCA_3	BCperCA_4	BCperCA_5	SegSize_0	SegSize_1	SegSize_2	SegSize_3	SegSize_4	SegSize_5	SegSize_6	SegSize_7	SegSize_8	SegSize_9	SegSize_10	CopyFraction_0	CopyFraction_1	CopyFraction_2	CopyFraction_3	CopyFraction_4	CopyFraction_5	CopyFraction_6
sample_001_PC	237	50	2	0	1	32	66	7	1	2	3	1	4	36	39	6	6	4	0	2	4	16	12	6	3	4	4	45	17	11	11	11	7	2	2	2	4	5	0.0	0.3496	0.6067	0.0146	0.0014	0.0005	0.0272
sample_002_PC	255	31	2	0	0	2	16	12	22	5	4	1	10	8	11	7	2	7	2	1	13	28	11	2	1	3	0	21	6	5	11	4	4	5	0	3	5	8	0.0	0.0168	0.2189	0.2827	0.3659	0.0505	0.0652
sample_003_PC	251	35	2	0	0	2	28	23	27	10	7	2	3	20	25	16	12	6	0	0	2	17	12	10	2	2	2	40	13	6	10	10	5	3	0	2	7	6	0.0	0.0114	0.2131	0.4075	0.2971	0.0327	0.0382
sample_004_PC	255	28	0	0	0	3	19	14	23	5	1	1	0	15	13	9	3	1	2	0	0	30	9	5	1	0	0	16	7	5	5	8	7	2	0	3	4	9	0.0	0.0204	0.2769	0.1621	0.4571	0.0468	0.0366
sample_005_PC	215	74	1	0	1	3	44	47	44	12	3	5	8	37	50	31	11	4	3	2	7	9	10	6	5	6	9	74	34	21	14	5	7	3	1	1	4	3	0.0007	0.0288	0.2768	0.3567	0.2537	0.0399	0.0434
sample_006_PC	239	49	1	0	2	2	5	23	14	13	46	4	11	19	18	23	21	3	6	2	6	17	9	2	11	3	3	47	21	7	14	9	6	4	2	2	3	5	0.0	0.0109	0.0064	0.2115	0.0137	0.1342	0.6233
sample_007_PC	200	86	2	0	0	2	28	12	85	6	25	3	7	47	26	56	9	5	2	2	1	7	10	7	8	3	10	53	50	23	21	5	9	3	1	1	1	1	0.0	0.0015	0.1352	0.086	0.5374	0.0605	0.1793
sample_008_PC	241	45	2	0	7	3	9	10	23	13	19	5	9	17	17	11	14	4	7	2	5	19	9	8	6	2	1	30	11	10	12	14	6	5	3	2	1	4	0.0129	0.0225	0.0936	0.0821	0.3205	0.1544	0.314
sample_009_PC	237	50	1	0	3	20	74	17	7	2	1	1	0	42	42	9	7	1	2	0	0	12	11	10	6	4	2	48	19	17	13	8	5	3	0	4	4	4	0.0008	0.121	0.72	0.1313	0.0192	0.0021	0.0056
sample_010_PC	221	68	1	0	5	30	76	18	8	2	0	0	1	40	60	13	4	0	0	0	2	10	10	10	6	2	7	48	28	23	14	4	10	3	1	5	3	1	0.0	0.1704	0.6292	0.1096	0.0873	0.0035	0.0
sample_011_PC	255	32	2	0	0	0	19	9	41	13	6	0	5	27	11	22	3	2	1	0	6	21	10	7	3	3	1	35	10	6	10	10	3	5	1	3	2	8	0.0	0.0	0.1424	0.1151	0.5594	0.1301	0.053
sample_012_PC	229	59	1	0	5	7	37	12	27	5	13	4	5	16	19	34	12	6	6	0	0	11	12	10	9	2	1	35	20	15	9	16	7	4	3	1	3	2	0.0469	0.0757	0.4041	0.1701	0.2151	0.0286	0.0594
sample_013_PC	212	73	2	0	1	1	20	27	60	14	10	4	7	32	55	20	8	1	3	0	5	8	11	7	9	4	6	46	37	16	16	13	5	4	0	5	2	0	0.0	0.0092	0.1371	0.215	0.4931	0.0784	0.067
sample_014_PC	225	63	2	0	0	3	25	8	61	5	5	2	2	27	16	41	2	1	1	0	2	15	10	10	4	4	2	24	27	22	13	6	3	3	5	2	3	3	0.0	0.0118	0.2349	0.0432	0.6069	0.0544	0.0488
sample_015_PC	238	49	2	0	0	1	24	4	53	4	9	2	4	23	9	32	5	4	0	2	6	16	12	10	3	2	2	29	16	9	17	9	4	3	5	2	3	4	0.0	0.004	0.1598	0.0301	0.614	0.0541	0.138
sample_016_PC	218	69	2	0	1	1	25	27	49	18	5	0	3	27	41	29	7	3	1	0	0	12	11	9	5	1	7	32	29	20	18	13	7	3	2	2	1	2	0.0005	0.0046	0.2336	0.2704	0.3078	0.1565	0.0266
sample_017_PC	221	67	1	0	3	2	29	29	53	18	5	2	6	31	44	30	9	3	4	1	3	10	9	6	6	7	7	47	35	22	14	13	4	2	5	2	1	2	0.0006	0.0054	0.2317	0.2811	0.3004	0.1507	0.0301
sample_018_PC	225	62	2	0	1	3	26	33	32	6	6	2	4	23	34	25	7	2	1	0	0	14	9	9	9	3	1	27	24	15	15	15	8	3	2	1	0	3	0.0002	0.0153	0.2237	0.3293	0.3221	0.0474	0.0619
sample_019_PC	239	46	1	0	0	0	19	8	54	1	12	3	2	29	10	31	6	0	1	0	0	13	18	9	2	2	1	25	17	16	13	7	4	4	3	0	7	3	0.0	0.0	0.1821	0.0576	0.6226	0.0211	0.1167
sample_020_PC	231	53	1	0	2	0	4	26	8	9	51	6	15	23	15	19	26	8	1	3	4	13	10	8	7	5	2	44	20	12	17	8	7	3	2	2	1	5	0.0007	0.0	0.0064	0.1887	0.057999999999999996	0.0245	0.7217
