sample	TotalReads_PostMrkDelDup	MedianOnTargetDepth_PostMrkDelDup	FractionDuplicateReads	FractionOnTarget	ontarget_perc
sample_001_PC	120804695	198	0.43021099999999995	0.4976301125	49.76301125
sample_002_PC	109947806	162	0.406021	0.5606601907	56.06601907
sample_003_PC	110905995	167	0.22604000000000002	0.5466948514	54.66948514
sample_004_PC	38748338	78	0.38509699999999997	0.7193813643000001	71.93813643
sample_005_PC	125278002	195	0.290298	0.47864992939999995	47.86499294
sample_006_PC	179964911	298	0.44180600000000003	0.47769861329999996	47.76986133
sample_007_PC	113825305	169	0.22979000000000002	0.5833830181	58.33830181
sample_008_PC	109090624	174	0.41572200000000004	0.6631290306000001	66.31290306
sample_009_PC	105292233	163	0.255393	0.6562466295	65.62466295
sample_010_PC	130980025	185	0.21810100000000002	0.4748570029	47.48570029
sample_011_PC	148435911	253	0.406441	0.5313860328	53.13860328
sample_012_PC	217122786	310	0.27705599999999997	0.4660447533	46.60447533
sample_013_PC	216919372	334	0.315645	0.4745534747	47.45534747
sample_014_PC	134159246	218	0.276389	0.4945547411	49.45547411
sample_015_PC	127272105	158	0.275158	0.5983812946	59.83812946
sample_016_PC	117317478	169	0.274783	0.6427500836	64.27500836
sample_017_PC	114133417	163	0.421241	0.6481708404	64.81708404
sample_018_PC	113613662	172	0.316891	0.6490425165	64.90425165
sample_019_PC	136111949	202	0.248166	0.5894781951	58.94781951
sample_020_PC	115568951	190	0.376203	0.5564243337	55.64243337
sample_021_PC	119393405	197	0.40939200000000003	0.6376024456	63.76024456
sample_022_PC	92818600	153	0.40994200000000003	0.6708526972	67.08526972
sample_023_PC	143287893	209	0.220572	0.5106300935	51.06300935
sample_024_PC	94560882	150	0.404167	0.6621749545000001	66.21749545
sample_025_PC	125943283	180	0.25551799999999997	0.6284327371	62.84327371
sample_026_PC	158163869	266	0.353033	0.4919852915	49.19852915
sample_027_PC	133836478	142	0.234213	0.61420874	61.420874
sample_028_PC	102687726	143	0.34924099999999997	0.6196343137	61.96343137
sample_029_PC	102068047	149	0.28646	0.5251088403	52.51088403
sample_030_PC	106339381	150	0.319101	0.6487092439	64.87092439
sample_031_PC	74620225	141	0.408381	0.7070736125	70.70736125
sample_032_PC	97130761	159	0.398595	0.5233144932	52.33144932
sample_033_PC	120880618	181	0.361597	0.5784812465	57.84812465
sample_034_PC	209029057	354	0.336828	0.4690573408	46.90573408
sample_035_PC	153938125	257	0.46201000000000003	0.5031762372	50.31762372
