sample	chr	start	end	baf	n_baf	sd_baf	depth_ratio	n_ratio	sd_ratio	CNt	A	B	LPP
sample_001_PC	1	16378	16535663	0.2278188794	511	0.08592875443	0.7210549923999999	987429	0.2299612982	1	1.0	0.0	-6.851424326
sample_001_PC	1	16549077	16924560	0.4591380201	46	0.08308011383	0.7138367105	45417	0.22899944460000002	2	1.0	1.0	-7.51759463
sample_001_PC	1	16975177	24342967	0.23691104719999997	280	0.08026034499	0.7420011294	433925	0.22399120239999998	1	1.0	0.0	-6.9736171979999995
sample_001_PC	1	24655268	71072260	0.49937883130000005	647	0.050700811639999996	1.07777592	1903523	0.3409565308	2	1.0	1.0	-6.736058227999999
sample_001_PC	1	74041631	107057296	0.3015162924	231	0.08113652904	0.776226092	600306	0.24265024149999997	1	1.0	0.0	-9.299955387999999
sample_001_PC	1	107576385	115768346	0.2373908728	177	0.08492861137	0.6935930165	364748	0.2124670136	1	1.0	0.0	-6.754787209
sample_001_PC	1	115992231	121397956	0.4991012854	86	0.08669843327	0.97950546	209850	0.3083967086	2	1.0	1.0	-7.009278027000001
sample_001_PC	1	125179343	144104915	0.4989886246	18	0.10851468980000001	0.9376516656999999	34896	0.3376069012	2	1.0	1.0	-8.165858833
sample_001_PC	1	144105212	179882939	0.4991567236	758	0.04794722365	1.0727292240000001	1962896	0.3293311758	2	1.0	1.0	-6.73349578
sample_001_PC	1	179889309	180175953	0.2483714806	12	0.060760333949999995	1.8302144409999999	25587	0.4734383919	5	4.0	1.0	-6.758256115
sample_001_PC	1	180787920	248812149	0.4993331836	1206	0.05096115878	1.0813979	2266044	0.3264935289	2	1.0	1.0	-6.751086683
sample_001_PC	2	672745	87396774	0.4920429288	1047	0.054176395999999995	1.062129918	2314394	0.3263399827	2	1.0	1.0	-6.805764443999999
sample_001_PC	2	87396848	91843638	0.4989382561	98	0.09255852516	0.9785753957	162694	0.3374519772	2	1.0	1.0	-6.929424900000001
sample_001_PC	2	91843736	92070689	0.25996732440000003	9	0.11348176550000001	1.016796477	3605	0.37587279799999995	1	1.0	0.0	-6.886299746000001
sample_001_PC	2	94196506	95921748	0.4664510157	27	0.055014165489999996	0.9830192626	87051	0.3154292891	2	1.0	1.0	-7.028693577
sample_001_PC	2	95935405	95959030	0.2953411676	39	0.1005536764	0.6958054709999999	3937	0.2496524557	1	1.0	0.0	-6.930860824
sample_001_PC	2	95959066	98245634	0.49920981509999995	108	0.07184946561000001	1.095263364	197634	0.4148794137	2	1.0	1.0	-6.736162205
sample_001_PC	2	98331761	142130807	0.23212806	417	0.07876472443	0.6965994651999999	936436	0.2152328007	1	1.0	0.0	-6.7892231789999995
sample_001_PC	2	144007459	242022953	0.4989554988	1408	0.04618743635	1.072649601	3271192	0.3147851947	2	1.0	1.0	-6.734285614
sample_001_PC	3	319825	89472543	0.4992594731	1173	0.04799419876	1.0655138370000001	2769787	0.3145146679	2	1.0	1.0	-6.767066184
sample_001_PC	3	91374136	198215256	0.4992779907	1379	0.05041725955	1.0325580540000001	2861435	0.3089505232	2	1.0	1.0	-7.626276936
sample_001_PC	4	85671	39295587	0.4861083736	654	0.05254307825	1.130605399	991788	0.36987396590000005	2	1.0	1.0	-7.197058686
sample_001_PC	4	39351298	49560224	0.48736324770000006	121	0.07047519247999999	1.032927843	236588	0.31306106850000004	2	1.0	1.0	-6.8458407999999995
sample_001_PC	4	52029884	78466432	0.49921539880000004	284	0.05979962102999999	1.171202329	585537	0.3743911222	2	1.0	1.0	-7.481006667999999
sample_001_PC	4	78601444	188389153	0.2356293327	778	0.07618103517000001	0.6894712959999999	1825471	0.1972671683	1	1.0	0.0	-7.349577985
